</s>	chords
G	chords
C	chords
D	chords
A	chords
F	chords
E	chords
A#	chords
B	chords
Am	chords
Em	chords
D#	chords
G#	chords
F#	chords
C#	chords
Bm	chords
F#m	chords
Dm	chords
C#m	chords
Gm	chords
Cm	chords
G#m	chords
Fm	chords
A#m	chords
D#m	chords
D7	chords
E7	chords
B7	chords
A7	chords
G7	chords
C7	chords
F7	chords
D#7	chords
F#7	chords
A#7	chords
C#7	chords
G#7	chords
FA#	chords
Cdim	chords
Asus7	chords
CD	chords
AAF#A	chords
